학교ID,학교명,전화번호,설립유형,학생수,학생수남,학생수여,교원수,교원수남,교원수여,공시연도
B000002796,대구수성초등학교,053-232-0709,단설,699,380,319,48,4,44,2025
B000002797,대구동성초등학교,053-232-1600,단설,904,374,530,59,5,54,2025
B000002798,대구지봉초등학교,053-232-3893,단설,158,75,83,18,3,15,2025
B000002799,대구두산초등학교,053-232-3592,단설,245,137,108,25,4,21,2025
B000002800,대구지산초등학교,053-232-0900,단설,206,121,85,19,2,17,2025
B000002801,대구용지초등학교,053-232-3780,단설,641,311,330,48,4,44,2025
B000002802,대구파동초등학교,053-232-3090,단설,338,168,170,32,5,27,2025
B000002803,대구성동초등학교,053-232-2820,단설,1506,742,764,84,6,78,2025
B000002804,대구황금초등학교,053-232-2046,단설,714,351,363,48,7,41,2025
B000002805,대구삼육초등학교,053-232-5962,단설,194,91,103,8,4,4,2025
B000002806,대구달성초등학교,053-233-0293,단설,811,393,418,52,10,42,2025
B000002807,대구내서초등학교,053-233-2832,단설,161,89,72,19,4,15,2025
B000002808,대구두류초등학교,053-233-2714,단설,237,128,109,24,6,18,2025
B000002809,대구경운초등학교,053-233-1707,단설,331,165,166,27,7,20,2025
B000002810,대구서부초등학교,053-233-0205,단설,239,115,124,23,6,17,2025
B000002811,대구대성초등학교,053-233-0590,병설,139,71,68,18,4,14,2025
B000002812,대구비봉초등학교,,단설,62,20,42,14,3,11,2025
B000002813,대구북비산초등학교,053-233-1508,단설,101,52,49,17,7,10,2025
B000002814,대구인지초등학교,053-233-0575,단설,430,228,202,37,2,35,2025
B000002815,서대구초등학교,053-233-1644,단설,141,74,67,19,9,10,2025
B000002816,대구중리초등학교,053-233-0755,단설,262,134,128,21,8,13,2025
B000002817,대구달서초등학교,053-233-1911,단설,595,320,275,43,9,34,2025
B000002818,대구서평초등학교,053-233-2382,단설,125,61,64,17,7,10,2025
B000002819,대구비산초등학교,053-233-1348,단설,253,127,126,22,2,20,2025
B000002820,대구평리초등학교,053-233-1309,단설,1008,507,501,64,10,54,2025
B000002821,대구서도초등학교,053-233-1460,단설,224,125,99,21,5,16,2025
B000002822,대구이현초등학교,053-233-2387,단설,402,194,208,33,8,25,2025
B000002824,대구관문초등학교,,단설,802,396,406,57,10,47,2025
B000002825,대구관음초등학교,053-233-2897,단설,138,73,65,19,4,15,2025
B000002826,대구관남초등학교,053-233-3840,단설,230,115,115,23,4,19,2025
B000002827,대구강북초등학교,053-233-3672,단설,608,277,331,46,11,35,2025
B000002828,대구운암초등학교,053-233-4183,단설,470,245,225,44,13,31,2025
B000002829,대구구암초등학교,053-233-3200,단설,251,126,125,27,2,25,2025
B000002831,대구신암초등학교,053-233-0684,단설,552,259,293,45,10,35,2025
B000002832,대구매천초등학교,053-233-2138,단설,292,157,135,25,4,21,2025
B000002833,대구문성초등학교,,단설,368,192,176,31,8,23,2025
B000002834,대구복현초등학교,053-233-1874,단설,887,474,413,52,9,43,2025
B000002835,대구경진초등학교,,단설,65,33,32,14,1,13,2025
B000002836,북대구초등학교,053-233-2454,단설,336,159,177,26,3,23,2025
B000002838,대구산격초등학교,053-233-1186,단설,234,116,118,24,5,19,2025
B000002839,대구대산초등학교,053-233-2282,병설,89,47,42,14,4,10,2025
B000002840,대구교동초등학교,,단설,165,85,80,21,3,18,2025
B000002841,대구칠곡초등학교,053-233-2110,단설,432,241,191,33,5,28,2025
B000002842,대구대천초등학교,053-233-3433,단설,319,172,147,28,7,21,2025
B000002843,대구옥산초등학교,053-233-1050,단설,629,316,313,50,9,41,2025
B000002844,대구칠성초등학교,053-233-0389,단설,1256,625,631,80,15,65,2025
B000002845,대구달산초등학교,,단설,805,377,428,51,8,43,2025
B000002846,대구침산초등학교,053-233-0960,단설,1110,568,542,73,9,64,2025
B000002847,대구태현초등학교,053-233-3290,단설,278,151,127,25,3,22,2025
B000002848,대구관천초등학교,053-233-3024,단설,146,78,68,20,3,17,2025
B000002849,대구태암초등학교,053-233-3587,단설,437,227,210,34,11,23,2025
B000002850,대구태전초등학교,053-233-3007,단설,182,98,84,22,6,16,2025
B000002851,대구도남초등학교,053-233-2272,단설,527,256,271,37,5,32,2025
B000002852,대구학남초등학교,053-233-4001,단설,503,264,239,43,15,28,2025
B000002853,대구동변초등학교,053-233-4289,단설,497,271,226,34,8,26,2025
B000002854,대구북부초등학교,,단설,182,97,85,26,8,18,2025
B000002855,대구함지초등학교,053-233-4515,단설,296,144,152,22,5,17,2025
B000002856,대구동평초등학교,053-233-3871,단설,723,362,361,45,12,33,2025
B000002857,대구성북초등학교,053-233-1102,단설,283,149,134,24,5,19,2025
B000002858,대구서변초등학교,053-233-4407,병설,334,171,163,27,5,22,2025
B000002859,대구팔달초등학교,053-233-3555,단설,189,97,92,19,4,15,2025
B000002860,대구학정초등학교,053-233-4535,단설,465,229,236,35,5,30,2025
B000002861,대구효명초등학교,053-234-1707,단설,308,154,154,25,4,21,2025
B000002862,대구남도초등학교,053-234-0889,단설,443,246,197,41,3,38,2025
B000002863,대구남명초등학교,053-234-1936,단설,130,69,61,18,6,12,2025
B000002864,대구남덕초등학교,053-234-2364,단설,194,87,107,21,7,14,2025
B000002865,대구대명초등학교,053-234-0208,단설,423,218,205,32,2,30,2025
B000002866,대구대덕초등학교,0532341057,단설,183,96,87,24,4,20,2025
B000002867,남대구초등학교,053-234-1716,단설,199,107,92,23,3,20,2025
B000002868,대구성명초등학교,053-234-0930,단설,218,104,114,27,7,20,2025
B000002869,대구봉덕초등학교,053-234-0581,병설,707,346,361,50,6,44,2025
B000002870,대구대봉초등학교,053-234-0302,단설,451,241,210,41,15,26,2025
B000002871,대구영선초등학교,053-234-0479,단설,298,163,135,32,9,23,2025
B000002872,대구교육대학교대구부설초등학교,053-234-5338,부설,387,193,194,26,18,8,2025
B000002873,대구장기초등학교,053-234-4173,병설,414,221,193,30,2,28,2025
B000002874,대구대남초등학교,053-234-2111,단설,291,154,137,29,5,24,2025
B000002875,대구진천초등학교,053-234-1567,단설,382,200,182,29,5,24,2025
B000002876,대구유천초등학교,053-234-4873,단설,634,337,297,50,7,43,2025
B000002877,대구도원초등학교,053-234-3503,단설,282,141,141,26,6,20,2025
B000002878,대구대곡초등학교,053-234-3201,단설,326,168,158,27,7,20,2025
B000002879,대구노전초등학교,053-234-3350,단설,320,160,160,24,5,19,2025
B000002880,대구남송초등학교,053-234-2210,단설,373,175,198,28,5,23,2025
B000002881,대구월서초등학교,053-234-4684,단설,826,432,394,52,6,46,2025
B000002882,대구상인초등학교,053-234-1371,단설,402,222,180,38,6,32,2025
B000002883,대구대서초등학교,053-234-2504,단설,374,176,198,29,8,21,2025
B000002884,대구월촌초등학교,053-234-2876,단설,436,221,215,36,6,30,2025
B000002885,대구월곡초등학교,053-234-2915,단설,80,41,39,20,4,16,2025
B000002886,대구상원초등학교,053-234-3011,단설,225,130,95,25,4,21,2025
B000002887,대구송현초등학교,053-234-1489,단설,228,118,110,22,3,19,2025
B000002888,대구감천초등학교,053-234-2740,단설,216,122,94,29,5,24,2025
B000002889,대구학산초등학교,053-234-2456,단설,368,190,178,31,3,28,2025
B000002890,대구월성초등학교,053-234-2588,단설,154,82,72,20,11,9,2025
B000002891,대구송일초등학교,053-234-2630,단설,405,214,191,33,6,27,2025
B000002892,대구신월초등학교,053-234-5008,단설,1005,503,502,67,15,52,2025
B000002893,대구조암초등학교,053-234-5064,단설,500,256,244,35,3,32,2025
B000002894,대구월암초등학교,,단설,1164,573,591,73,12,61,2025
B000002895,대구월배초등학교,053-234-1405,단설,595,307,288,51,17,34,2025
B000002896,대구진월초등학교,053-234-2384,단설,251,114,137,24,7,17,2025
B000002897,대구대진초등학교,,단설,349,172,177,28,10,18,2025
B000002898,대구감삼초등학교,053-234-2010,단설,238,121,117,28,5,23,2025
B000002899,대구본리초등학교,053-234-1280,단설,1044,503,541,70,10,60,2025
B000002900,대구성남초등학교,,단설,296,155,141,25,2,23,2025
B000002901,대구내당초등학교,053-234-0402,단설,454,227,227,38,5,33,2025
B000002902,대구신흥초등학교,053-234-0710,병설,303,161,142,29,1,28,2025
B000002903,대구성당초등학교,053-234-1905,단설,683,339,344,48,5,43,2025
B000002904,대구덕인초등학교,053-234-2279,단설,414,219,195,36,10,26,2025
B000002905,대구남부초등학교,053-234-1009,단설,246,121,125,23,2,21,2025
B000002906,대구신서초등학교,053-234-3828,단설,139,79,60,20,5,15,2025
B000002907,대구신당초등학교,053-234-3034,단설,111,63,48,20,4,16,2025
B000002908,대구성지초등학교,053-234-3281,단설,296,157,139,27,2,25,2025
B000002909,대구성서초등학교,053-234-1130,단설,228,121,107,24,5,19,2025
B000002910,대구죽전초등학교,053-234-1771,단설,328,151,177,34,4,30,2025
B000002911,대구성산초등학교,053-234-3739,단설,320,159,161,27,3,24,2025
B000002912,대구선원초등학교,053-234-3661,단설,222,116,106,24,1,23,2025
B000002913,대구용산초등학교,053-234-2128,단설,354,183,171,29,2,27,2025
B000002914,대구용전초등학교,053-234-4078,단설,281,149,132,25,5,20,2025
B000002915,대구장산초등학교,053-234-3940,단설,350,167,183,30,3,27,2025
B000002916,대구와룡초등학교,,단설,419,215,204,38,4,34,2025
B000002917,대구이곡초등학교,053-234-3565,단설,307,155,152,28,1,27,2025
B000002918,대구성곡초등학교,053-234-4403,단설,254,126,128,30,5,25,2025
B000002919,대구장성초등학교,053-234-4568,단설,150,76,74,18,5,13,2025
B000002920,대구장동초등학교,053-234-4475,단설,1288,626,662,89,9,80,2025
B000002921,대구호산초등학교,053-234-4758,단설,241,125,116,27,3,24,2025
B000002923,효성초등학교,053-234-9549,단설,509,247,262,22,15,7,2025
B000002924,대구다사초등학교,053-235-0810,단설,933,495,438,56,15,41,2025
B000002925,대구왕선초등학교,053-235-1901,단설,555,281,274,42,13,29,2025
B000002926,대구매곡초등학교,053-235-1990,단설,413,195,218,30,8,22,2025
B000002927,대구서재초등학교,,단설,536,270,266,41,10,31,2025
B000002928,대구도림초등학교,,단설,263,133,130,26,7,19,2025
B000002929,대구죽곡초등학교,053-235-1360,단설,641,321,320,47,10,37,2025
B000002930,대구천내초등학교,053-235-1545,단설,141,84,57,19,9,10,2025
B000002931,대구화남초등학교,053-235-1277,단설,449,223,226,32,10,22,2025
B000002932,대구명곡초등학교,,단설,136,67,69,20,5,15,2025
B000002933,대구화원초등학교,053-235-0240,단설,404,223,181,30,9,21,2025
B000002934,대구화동초등학교,053-235-1775,단설,260,135,125,21,8,13,2025
B000002935,대구금포초등학교,053-235-0445,단설,125,69,56,18,10,8,2025
B000002936,대구북동초등학교,053-235-0503,단설,209,115,94,32,11,21,2025
B000002937,대구논공초등학교,053-235-1706,단설,172,74,98,24,12,12,2025
B000002938,대구남동초등학교,053-235-1180,단설,140,64,76,23,8,15,2025
B000002939,대구동곡초등학교,053-235-0780,단설,56,34,22,13,6,7,2025
B000002940,대구하빈초등학교,053-235-1004,병설,83,48,35,16,3,13,2025
B000002941,대구반송초등학교,053-235-0397,단설,48,22,26,12,8,4,2025
B000002942,대구금계초등학교,053-235-0348,단설,121,58,63,16,3,13,2025
B000002943,대구옥포초등학교,053-235-0306,단설,232,107,125,23,3,20,2025
B000002944,대구가창초등학교,053-235-1130,단설,113,61,52,16,2,14,2025
B000002945,대구용계초등학교,,단설,355,193,162,27,10,17,2025
B000002946,대구현풍초등학교,,단설,253,129,124,24,10,14,2025
B000002948,대구구지초등학교,053-235-0741,단설,475,223,252,34,11,23,2025
B000002971,인천숭의초등학교,0328879017,병설,1154,611,543,74,19,55,2025
B000002972,인천용정초등학교,032-868-2382,단설,214,112,102,24,9,15,2025
B000002973,인천용일초등학교,032-866-4280,단설,366,193,173,36,7,29,2025
B000002974,인천용현초등학교,032-629-0602,단설,1403,754,649,79,25,54,2025
B000002975,인천용현남초등학교,032-884-8467,단설,1149,587,562,74,23,51,2025
B000002976,인천학산초등학교,032-865-7510,단설,835,407,428,55,11,44,2025
B000002977,인천백학초등학교,032-867-2883,단설,297,157,140,28,11,17,2025
B000002978,인천도화초등학교,032-874-2585,병설,843,431,412,58,18,40,2025
B000002979,인천문학초등학교,032-425-2801,단설,551,270,281,44,9,35,2025
B000002980,인천관교초등학교,032-434-0491,단설,431,229,202,28,6,22,2025
B000002981,인천경원초등학교,032-424-1692,단설,941,484,457,59,19,40,2025
B000002982,인천석암초등학교,032-424-0143,단설,902,449,453,68,21,47,2025
B000002983,인천남부초등학교,032-629-1021,단설,349,178,171,30,10,20,2025
B000002984,인천승학초등학교,032-629-1644,단설,341,187,154,30,7,23,2025
B000002985,인천서화초등학교,032-629-0913,단설,1341,689,652,81,26,55,2025
B000002986,인천대화초등학교,032-867-0047,병설,366,180,186,31,10,21,2025
B000002987,인천주안북초등학교,032-867-3160,단설,362,180,182,33,8,25,2025
B000002989,인천주안남초등학교,032-424-7247,단설,426,220,206,34,10,24,2025
B000002990,인천학익초등학교,0326290368,단설,369,175,194,29,7,22,2025
B000002991,인천인주초등학교,,병설,418,203,215,35,5,30,2025
B000002992,인천연학초등학교,,단설,371,196,175,30,7,23,2025
B000002993,연평초등학교,032-627-1819,병설,26,15,11,10,8,2,2025
B000002994,대청초등학교,032-627-1351,단설,16,10,6,8,6,2,2025
B000002995,영흥초등학교,,병설,147,85,62,17,10,7,2025
B000002996,덕적초등학교,,단설,17,9,8,7,3,4,2025
B000002997,북포초등학교,032-622-0956,단설,65,35,30,13,9,4,2025
B000002998,백령초등학교,032-836-0014,단설,41,20,21,13,9,4,2025
B000002999,인천공항초등학교신도분교장,,단설,9,3,6,3,2,1,2025
B000003000,인천삼목초등학교장봉분교장,032-629-9615,단설,2,0,2,3,2,1,2025
B000003004,인천남부초등학교이작분교장,032-629-1019,단설,2,2,0,1,1,0,2025
B000003005,인천용현남초등학교자월분교장,032-629-1341,단설,6,5,1,3,3,0,2025
B000003006,인천부평서초등학교,,단설,687,344,343,50,8,42,2025
B000003007,인천부곡초등학교,032-504-3254,단설,912,478,434,54,10,44,2025
B000003008,인천마곡초등학교,,단설,119,60,59,18,7,11,2025
B000003009,인천대정초등학교,032-628-1379,단설,471,242,229,30,5,25,2025
B000003010,인천청천초등학교,0325162823,단설,1019,509,510,71,12,59,2025
B000003011,인천갈산초등학교,032-508-5593,단설,190,93,97,24,6,18,2025
B000003012,인천후정초등학교,,단설,297,149,148,27,1,26,2025
B000003013,인천영선초등학교,032-628-6762,단설,612,280,332,40,10,30,2025
B000003014,인천진산초등학교,032-511-3711,단설,207,103,104,25,4,21,2025
B000003015,인천구산초등학교,032-361-0833,단설,285,153,132,24,3,21,2025
B000003016,인천부일초등학교,032-458-9108,단설,276,126,150,28,1,27,2025
B000003017,인천부내초등학교,032-628-2008,단설,555,271,284,36,8,28,2025
B000003018,인천부개서초등학교,,단설,1054,524,530,60,11,49,2025
B000003019,인천부광초등학교,032-627-8249,단설,350,174,176,30,6,24,2025
B000003020,인천일신초등학교,032-628-1248,단설,278,133,145,27,7,20,2025
B000003021,인천금마초등학교,032-628-2903,단설,273,147,126,25,5,20,2025
B000003022,인천상정초등학교,,단설,288,160,128,27,5,22,2025
B000003023,인천부평북초등학교,,단설,282,143,139,27,5,22,2025
B000003024,인천갈월초등학교,,단설,474,235,239,40,10,30,2025
B000003025,인천부개초등학교,032-517-3151,단설,195,94,101,21,6,15,2025
B000003026,인천동수초등학교,032-518-4222,단설,617,319,298,52,11,41,2025
B000003027,인천부원초등학교,032-504-8478,단설,602,284,318,42,7,35,2025
B000003028,인천부흥초등학교,,단설,1016,486,530,76,10,66,2025
B000003029,인천부평동초등학교,,단설,831,427,404,66,10,56,2025
B000003030,인천부평남초등학교,032-522-0454,단설,768,401,367,71,12,59,2025
B000003031,인천산곡북초등학교,,단설,515,282,233,35,4,31,2025
B000003032,인천산곡초등학교,,단설,427,218,209,33,4,29,2025
B000003033,인천부마초등학교,,단설,654,335,319,42,7,35,2025
B000003034,인천미산초등학교,,단설,219,115,104,25,2,23,2025
B000003035,인천산곡남초등학교,032-516-7390,단설,417,214,203,31,6,25,2025
B000003036,인천신촌초등학교,,단설,328,179,149,30,6,24,2025
B000003037,인천하정초등학교,,단설,470,231,239,33,7,26,2025
B000003038,인천십정초등학교,,단설,179,94,85,24,4,20,2025
B000003039,인천백운초등학교,,단설,478,240,238,30,6,24,2025
B000003040,인천동암초등학교,,단설,295,130,165,33,8,25,2025
B000003041,인천용마초등학교,032-523-2798,병설,495,241,254,41,5,36,2025
B000003042,인천마장초등학교,032-505-5094,단설,543,294,249,39,8,31,2025
B000003043,인천개흥초등학교,0325129688,단설,316,154,162,34,7,27,2025
B000003044,인천삼산초등학교,,단설,502,272,230,35,6,29,2025
B000003045,인천한길초등학교,032-628-2247,단설,447,240,207,35,5,30,2025
B000003046,인천굴포초등학교,032-511-3870,단설,749,380,369,44,4,40,2025
B000003047,한일초등학교,0325025621,단설,317,152,165,18,14,4,2025
B000003048,인천명선초등학교,,병설,965,487,478,56,8,48,2025
B000003049,인천축현초등학교,032-834-8492,단설,258,157,101,29,5,24,2025
B000003050,인천송도초등학교,032-832-0468,단설,285,143,142,35,9,26,2025
B000003051,인천능허대초등학교,0328377200,단설,701,348,353,45,10,35,2025
B000003052,인천선학초등학교,032-814-2572,단설,567,306,261,49,16,33,2025
B000003053,인천중앙초등학교,032-817-8278,단설,248,123,125,28,7,21,2025
B000003054,인천연화초등학교,032-629-5276,단설,608,323,285,41,12,29,2025
B000003055,인천함박초등학교,032-629-5604,단설,454,224,230,46,19,27,2025
B000003056,인천청학초등학교,,단설,443,223,220,42,6,36,2025
B000003057,인천청량초등학교,,단설,450,218,232,32,8,24,2025
B000003058,인천연성초등학교,032-629-5080,단설,732,352,380,41,7,34,2025
B000003059,인천동춘초등학교,032-812-5561,병설,660,324,336,40,11,29,2025
B000003060,인천동막초등학교,,단설,384,202,182,27,6,21,2025
B000003061,인천서면초등학교,032-819-0294,단설,400,200,200,28,10,18,2025
B000003062,인천연수초등학교,032-816-7111,단설,271,154,117,29,6,23,2025
B000003063,인천문남초등학교,032-815-2078,단설,503,247,256,47,15,32,2025
B000003064,인천옥련초등학교,032-833-6096,단설,747,376,371,49,9,40,2025
B000003065,인천신정초등학교,032-851-9050,단설,1519,749,770,80,13,67,2025
B000003066,인천해송초등학교,032-833-0873,단설,555,277,278,37,7,30,2025
B000003067,인천신송초등학교,032-858-0940,단설,472,233,239,30,2,28,2025
B000003068,인천먼우금초등학교,032-629-6310,단설,760,381,379,48,7,41,2025
B000003069,인천박문초등학교,032-810-8504,단설,493,239,254,30,13,17,2025
B000003070,인천남촌초등학교,,병설,309,148,161,32,9,23,2025
B000003071,인천성리초등학교,032-472-0237,단설,557,290,267,38,9,29,2025
B000003073,인천정각초등학교,032-462-7646,단설,950,510,440,53,7,46,2025
B000003074,인천간석초등학교,032-469-5893,단설,510,249,261,38,12,26,2025
B000003075,인천구월서초등학교,032-629-4192,단설,924,474,450,57,12,45,2025
B000003076,인천상아초등학교,032-473-3023,단설,630,327,303,42,7,35,2025
B000003077,상인천초등학교,,단설,395,221,174,31,10,21,2025
B000003078,인천석정초등학교,032-431-3934,단설,793,405,388,48,13,35,2025
B000003079,인천만수북초등학교,,단설,607,313,294,44,7,37,2025
B000003080,인천동부초등학교,,단설,414,202,212,32,6,26,2025
B000003081,인천인수초등학교,,단설,252,131,121,28,4,24,2025
B000003082,인천만수초등학교,032-629-3536,단설,200,96,104,24,7,17,2025
B000003083,인천도림초등학교,032-446-7205,단설,320,158,162,27,9,18,2025
B000003084,인천은봉초등학교,032-446-5326,단설,362,185,177,31,4,27,2025
B000003085,인천장도초등학교,,단설,267,140,127,26,10,16,2025
B000003086,인천동방초등학교,032-629-6498,단설,511,288,223,34,7,27,2025
B000003087,인천원동초등학교,,병설,850,444,406,51,6,45,2025
B000003088,인천사리울초등학교,,단설,519,271,248,35,3,32,2025
B000003089,인천고잔초등학교,032-433-0464,단설,826,404,422,47,13,34,2025
B000003090,인천약산초등학교,032-424-7204,단설,587,299,288,47,12,35,2025
B000003091,인천주원초등학교,032-431-0045,단설,242,127,115,28,9,19,2025
B000003092,인천송천초등학교,,단설,320,156,164,24,6,18,2025
B000003093,인천석천초등학교,032-629-4129,단설,982,529,453,57,13,44,2025
B000003094,인천신월초등학교,,병설,223,125,98,26,8,18,2025
B000003095,인천구월초등학교,,단설,299,154,145,31,9,22,2025
B000003096,인천소래초등학교,032-446-5038,단설,505,267,238,37,12,25,2025
B000003097,인천논현초등학교,032-446-5175,단설,591,274,317,35,6,29,2025
B000003098,인천논곡초등학교,,단설,551,280,271,49,8,41,2025
B000003099,인천새말초등학교,032-629-9798,단설,358,164,194,34,4,30,2025
B000003100,인천조동초등학교,032-472-3012,단설,387,207,180,28,8,20,2025
B000003101,인천인동초등학교,032-629-5780,단설,771,399,372,50,9,41,2025
B000003102,인천장수초등학교,032-463-8087,단설,103,56,47,19,5,14,2025
B000003103,인천담방초등학교,032-453-9337,단설,369,185,184,27,8,19,2025
B000003104,인천남동초등학교,032-462-0104,단설,312,159,153,30,8,22,2025
B000003105,인천서창초등학교,,단설,735,390,345,48,9,39,2025
B000003106,경인교육대학교부설초등학교,032-547-8466,부설,560,280,280,34,24,10,2025
B000003107,인천효성동초등학교,032-547-0815,단설,454,224,230,31,5,26,2025
B000003108,인천효성남초등학교,,단설,633,315,318,43,9,34,2025
B000003109,인천효성초등학교,032-547-6313,단설,272,139,133,25,2,23,2025
B000003110,인천해서초등학교,,단설,141,72,69,21,9,12,2025
B000003111,인천안남초등학교,,단설,288,140,148,31,3,28,2025
B000003112,인천성지초등학교,032-546-3551,단설,291,151,140,25,6,19,2025
B000003113,인천화전초등학교,032-542-6553,단설,688,354,334,50,6,44,2025
B000003114,인천서운초등학교,,병설,510,261,249,35,5,30,2025
B000003115,인천신대초등학교,032-553-2012,단설,529,280,249,36,6,30,2025
B000003116,인천길주초등학교,032-553-2705,단설,454,231,223,33,6,27,2025
B000003117,인천병방초등학교,032-548-8345,단설,290,147,143,26,9,17,2025
B000003118,인천양촌초등학교,032-556-9464,단설,186,124,62,21,4,17,2025
B000003119,인천소양초등학교,032-628-5687,단설,346,179,167,33,12,21,2025
B000003120,인천당산초등학교,032-515-3873,병설,721,362,359,46,13,33,2025
B000003121,인천귤현초등학교,032-511-7168,단설,498,254,244,33,10,23,2025
B000003122,인천계양초등학교,,병설,307,157,150,25,5,20,2025
B000003123,인천계산초등학교,032-453-9511,단설,162,77,85,26,10,16,2025
B000003124,인천안산초등학교,,단설,265,139,126,24,4,20,2025
B000003125,인천부평초등학교,032-541-1798,단설,245,139,106,25,9,16,2025
B000003126,인천부현초등학교,032-552-2675,단설,342,185,157,26,7,19,2025
B000003127,인천부현동초등학교,,단설,430,208,222,29,9,20,2025
B000003128,인천작전초등학교,032-542-5155,단설,311,158,153,24,7,17,2025
B000003129,인천작동초등학교,032-548-0688,단설,400,211,189,35,10,25,2025
B000003130,인천명현초등학교,032-546-3470,단설,223,111,112,30,6,24,2025
B000003131,인천효성서초등학교,032-628-5178,단설,341,172,169,30,5,25,2025
B000003132,인천계양초등학교상야분교장,,단설,6,5,1,4,2,2,2025
B000003173,길상초등학교,,단설,140,74,66,23,12,11,2025
B000003174,양도초등학교,,단설,52,26,26,13,4,9,2025
B000003175,조산초등학교,032-937-2068,단설,42,24,18,13,4,9,2025
B000003176,화도초등학교,032-627-3985,단설,41,22,19,15,6,9,2025
B000003177,대월초등학교,,병설,107,57,50,17,8,9,2025
B000003178,갑룡초등학교,032-934-9799,단설,485,243,242,34,16,18,2025
B000003179,강화초등학교,032-627-6077,단설,209,106,103,22,6,16,2025
B000003180,합일초등학교,,단설,131,69,62,20,6,14,2025
B000003181,송해초등학교,032-550-5908,단설,36,20,16,10,5,5,2025
B000003182,선원초등학교,032-934-9234,단설,233,111,122,22,11,11,2025
B000003183,불은초등학교,,단설,51,19,32,13,7,6,2025
B000003184,삼성초등학교,032-937-8577,단설,23,12,11,11,5,6,2025
B000003185,하점초등학교,,단설,37,22,15,12,5,7,2025
B000003186,명신초등학교,032-627-6637,단설,45,23,22,12,9,3,2025
B000003187,양사초등학교,,병설,33,19,14,14,6,8,2025
B000003188,내가초등학교,,단설,57,36,21,14,5,9,2025
B000003189,해명초등학교,032-932-5964,단설,7,4,3,7,5,2,2025
B000003190,삼산초등학교,,단설,14,8,6,8,4,4,2025
B000003192,교동초등학교,032-627-6112,단설,18,10,8,13,7,6,2025
B000003194,서도초등학교,032-932-7006,단설,3,1,2,1,1,0,2025
B000003196,광주중앙초등학교,062-220-8206,단설,22,11,11,14,3,11,2025
B000003197,광주계림초등학교,062-220-2804,단설,1048,540,508,70,19,51,2025
B000003198,광주장원초등학교,062-250-3806,단설,177,94,83,22,8,14,2025
B000003199,광주동산초등학교,062-230-9281,단설,253,153,100,26,3,23,2025
B000003200,광주남초등학교,062-220-1609,병설,480,264,216,45,4,41,2025
B000003201,율곡초등학교,062-260-2207,단설,228,112,116,23,4,19,2025
B000003202,광주산수초등학교,,단설,177,98,79,21,6,15,2025
B000003203,광주서석초등학교,062-220-8191,단설,126,74,52,20,5,15,2025
B000003204,광주용산초등학교,062-230-0008,단설,257,120,137,25,4,21,2025
B000003205,광주학운초등학교,062-220-1705,단설,346,183,163,34,5,29,2025
B000003206,살레시오초등학교,062-227-1016,단설,509,252,257,21,12,9,2025
B000003207,빛고을초등학교,062-510-2773,단설,476,237,239,38,7,31,2025
B000003208,광림초등학교,062-510-3772,단설,474,255,219,37,3,34,2025
B000003209,광주교육대학교광주부설초등학교,062-520-4358,부설,573,286,287,36,18,18,2025
B000003210,광주수창초등학교,062-520-2706,단설,272,158,114,28,7,21,2025
B000003211,용주초등학교,062-510-5600,병설,261,143,118,27,3,24,2025
B000003212,광주우산초등학교,062-260-1773,단설,147,91,56,22,5,17,2025
B000003213,광주문화초등학교,062-260-2019,단설,342,177,165,37,5,32,2025
B000003214,문산초등학교,062-250-2109,단설,559,259,300,44,14,30,2025
B000003215,문흥초등학교,062-250-7709,단설,157,78,79,20,1,19,2025
B000003216,문정초등학교,,단설,197,80,117,21,5,16,2025
B000003217,문흥중앙초등학교,062-250-0577,단설,327,176,151,32,7,25,2025
B000003218,문우초등학교,062-260-1588,단설,183,82,101,23,5,18,2025
B000003219,오정초등학교,062-250-1705,단설,141,61,80,25,3,22,2025
B000003220,매곡초등학교,062-570-5803,단설,294,159,135,32,4,28,2025
B000003221,일곡초등학교,062-570-1635,단설,425,216,209,37,5,32,2025
B000003222,일신초등학교,062-606-8707,단설,423,243,180,37,8,29,2025
B000003223,광주동운초등학교,062-520-5505,단설,178,80,98,23,8,15,2025
B000003224,광주운암초등학교,062-520-5400,병설,521,254,267,43,6,37,2025
B000003225,양지초등학교,062-605-7705,단설,501,251,250,42,4,38,2025
B000003226,광주양산초등학교,062-570-8805,단설,362,196,166,36,9,27,2025
B000003227,본촌초등학교,062-606-6807,단설,1086,569,517,79,16,63,2025
B000003228,광주지산초등학교,062-570-9508,단설,125,68,57,15,2,13,2025
B000003229,광주동초등학교,062-250-2707,단설,68,28,40,13,6,7,2025
B000003230,각화초등학교,062-260-2606,단설,713,368,345,52,8,44,2025
B000003231,한울초등학교,062-510-3605,단설,525,280,245,40,10,30,2025
B000003232,동림초등학교,062-520-6605,단설,572,275,297,45,9,36,2025
B000003233,광주풍향초등학교,062-609-1106,단설,326,170,156,31,8,23,2025
B000003234,삼정초등학교,,단설,55,34,21,15,6,9,2025
B000003235,하백초등학교,062-570-9103,단설,790,428,362,54,9,45,2025
B000003236,삼각초등학교,062-570-6505,단설,539,307,232,43,4,39,2025
B000003237,광주용봉초등학교,510-4206,단설,144,66,78,18,5,13,2025
B000003238,신용초등학교,062-717-3570,단설,1050,550,500,70,5,65,2025
